tabla,conf,STATUS IMPLANTATION,version,uuaa,unique parameters,params,,,,unique parameters,params,,unique autom,,,
t_b0hn_agg_output_ems_hgl,B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf,DELIVERED,15.1.0,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,CUTOFF_DATE: Date of the data,CUTOFF_DATE: Date of the data,conf,COUNTA de conf
t_b0hn_agg_output_ems_hgl,B0HN_agg-output-ems-hgl_MRField.conf,DELIVERED,15.1.0,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND",,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound","CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",,0
t_b0hn_agg_output_ems_hgl,B0HN_agg-output-ems-hgl_MRObject.conf,DELIVERED,15.1.0,B0HN,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND",,,,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository","CUTOFF_DATE, extralibs",,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)","CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)",B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf,1
t_b0hn_sust_group_mark,B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf,DELIVERED,17.0.1,B0HN,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)","CUTOFF_DATE, SOURCE",,,,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository","CUTOFF_DATE, PREVIOUS_CUTOFF_DATE, extralibs",,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound
SOURCE: Origin of data (gf_information_source_type)","CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound
SOURCE: Origin of data (gf_information_source_type)",B0HN_agg-output-ems-hgl_MRField.conf,1
t_b0hn_sust_group_mark,B0HN_sust-group-mark_MRField.conf,DELIVERED,15.1.0,B0HN,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)","CUTOFF_DATE, SOURCE",,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_SCHEMA_0: Esquema de la tabla local","CUTOFF_DATE, CATALOG_COLUMN_0, CATALOG_CODE_0, CATALOG_PATH_0, CATALOG_SCHEMA_0",,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository","RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",B0HN_agg-output-ems-hgl_MRObject.conf,1
t_b0hn_sust_group_mark,B0HN_sust-group-mark_MRField.conf,DELIVERED,17.0.0,B0HN,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)","CUTOFF_DATE, SOURCE",,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_PATH_1: Ruta del catálogo local
CATALOG_SCHEMA_1: Esquema de la tabla local",", CATALOG_COLUMN_1, CATALOG_CODE_1, CATALOG_PATH_1, CATALOG_SCHEMA_1",,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository","RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf,1
t_b0hn_sust_group_mark,B0HN_sust-group-mark_MRField.conf,DELIVERED,16.1.7,B0HN,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)","CUTOFF_DATE, SOURCE",,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_PATH_2: Ruta del catálogo local
CATALOG_SCHEMA_2: Esquema de la tabla local",", CATALOG_COLUMN_2, CATALOG_CODE_2, CATALOG_PATH_2, CATALOG_SCHEMA_2",,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local","CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local",B0HN_sust-group-mark_MRField.conf,5
t_b0hn_sust_group_mark,B0HN_sust-group-mark_MRField.conf,DELIVERED,17.2.0,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_3: Columna del catálogo local 
CATALOG_CODE_3: Filtrado del catálogo local
CATALOG_PATH_3: Ruta del catálogo local
CATALOG_SCHEMA_3: Esquema de la tabla local",", CATALOG_COLUMN_3, CATALOG_CODE_3, CATALOG_PATH_3, CATALOG_SCHEMA_3",,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local","CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local",B0HN_sust-group-mark_MRObject.conf,1
t_b0hn_sust_group_mark,B0HN_sust-group-mark_MRField.conf,DELIVERED,17.0.1,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_4: Columna del catálogo local 
CATALOG_CODE_4: Filtrado del catálogo local
CATALOG_PATH_4: Ruta del catálogo local
CATALOG_SCHEMA_4: Esquema de la tabla local",", CATALOG_COLUMN_4, CATALOG_CODE_4, CATALOG_PATH_4, CATALOG_SCHEMA_4",,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_TABLE_2: Nombre de tabla local","CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_TABLE_2: Nombre de tabla local",B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf,2
t_b0hn_sust_group_mark,B0HN_sust-group-mark_MRObject.conf,DELIVERED,17.2.0,B0HN,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound
SOURCE: Origin of data (gf_information_source_type)","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND, SOURCE",,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_5: Columna del catálogo local 
CATALOG_CODE_5: Filtrado del catálogo local
CATALOG_PATH_5: Ruta del catálogo local
CATALOG_SCHEMA_5: Esquema de la tabla local",", CATALOG_COLUMN_5, CATALOG_CODE_5, CATALOG_PATH_5, CATALOG_SCHEMA_5",,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_3: Columna del catálogo local 
CATALOG_CODE_3: Filtrado del catálogo local
CATALOG_TABLE_3: Nombre de tabla local","CUTOFF_DATE: Date of the data
CATALOG_COLUMN_3: Columna del catálogo local 
CATALOG_CODE_3: Filtrado del catálogo local
CATALOG_TABLE_3: Nombre de tabla local",B0HN_sust-groups-fdbk_KCOG_country_MMRule.conf,1
